ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3131680966,2988140680,7759798,18301851,110856972,323914162,212549922,8403564,386421,8437112,4728996,1262813,81903225,598493332,598490294,283857920,278216823,288341191,66488729,128421185,93427555,normal
3131697657,2988159315,7759864,18301916,110856972,323914200,212549962,8403564,386421,8437113,4729068,1262894,81903225,598493439,598490401,283858030,278216823,288341191,66488729,128421185,93427555,normal
3131728403,2988196745,7759946,18302001,110856972,323914215,212549978,8403564,386421,8437113,4729182,1263007,81903225,598493574,598490536,283858164,278216823,288341191,66488729,128421185,93427555,normal
3131761930,2988228322,7760049,18302099,110856972,323914235,212549998,8403564,386421,8437113,4729327,1263136,81903225,598493738,598490700,283858311,278216823,288341191,66488729,128421185,93427555,normal
3131772969,2988238193,7760113,18302152,110856972,323914246,212550010,8403564,386421,8437113,4729383,1263192,81903225,598493798,598490760,283858371,278216823,288341191,66488729,128421185,93427555,normal
3131789937,2988264346,7760178,18302221,110857003,324462504,213097949,8455816,386743,8489751,4729454,1263265,81903225,598493912,598490874,283858488,278216823,288341191,66488729,128421185,93427555,slowpost
3131792755,2988269173,7760209,18302246,110857086,325928879,214563646,8596216,387424,8630229,4729541,1263354,81903225,598494019,598490981,283858597,278216823,288341191,66488729,128421185,93427555,slowpost
3131807699,2988289390,7760291,18302327,110857163,327419040,216053127,8739609,388108,8773344,4729614,1263409,81903225,598494112,598491074,283858691,278216823,288341191,66488729,128421185,93427555,slowpost
3131811820,2988297124,7760330,18302371,110857261,328849488,217483416,8874772,388269,8908670,4729680,1263474,81903225,598494211,598491173,283858798,278216823,288341191,66488729,128421185,93427555,slowpost
3131824714,2988309060,7760403,18302435,110857297,330251406,218884866,9006350,388742,9040338,4729759,1263522,81903225,598494283,598491245,283858867,278216823,288341191,66488729,128421185,93427555,slowpost
3131870927,2988370266,7760532,18302557,110857349,331587247,220220512,9130138,388941,9163949,4729910,1263657,81903225,598494449,598491411,283859029,278216823,288341191,66488729,128421185,93427555,slowpost
3131888045,2988389403,7760590,18302613,110857422,332962871,221596091,9257749,388985,9291528,4729984,1263731,81903225,598494561,598491523,283859139,278216823,288341191,66488729,128421185,93427555,slowpost
3131891215,2988399421,7760627,18302647,110857501,334394922,223028053,9390666,389077,9424553,4730053,1263798,81903225,598494644,598491606,283859221,278216823,288341191,66488729,128421185,93427555,slowpost
3131899918,2988409429,7760665,18302739,110857573,335831907,224464936,9524825,389192,9558867,4730126,1263873,81903225,598501827,598498789,283863915,278216823,288341191,66488729,128421185,93427555,slowpost
3189508078,2989617295,7811646,18318486,110857724,337295747,225918770,9660486,389859,9694238,4730207,1263953,81903225,598527508,598524470,283876885,278216823,288341191,66488729,128421185,93427555,slowpost
3205778649,3032557936,7828668,18346712,110857863,338768427,227401969,9797389,389897,9831511,4730317,1264034,81903225,598537605,598534567,283880197,278216823,288341191,66488729,128421185,93427555,slowpost
3206350811,3033120243,7830536,18348443,110859489,374833358,263463117,13166414,393780,13200368,4732413,1265476,81903225,598539963,598536925,283882540,278216823,288341191,66488729,128421185,93427555,slowpost
3206399684,3033173611,7830620,18348523,110859542,376213465,264843095,13295107,393910,13329138,4732533,1265594,81903225,598540108,598537070,283882684,278216823,288341191,66488729,128421185,93427555,slowpost
