ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1431410550,144,2149959861,34736197,17586,6921018,26971916,21810538,6802750,5350355,69005765,69005152,36711057,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431685276,144,2150141051,34736424,17587,6921018,26972135,21810763,6802900,5350355,69006145,69005532,36711423,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431730890,144,2150185334,34736684,17593,6921018,26972365,21810829,6802962,5350355,69006464,69005851,36711717,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431788302,144,2150236787,34736896,17610,6921018,26972562,21810894,6803027,5350355,69006745,69006132,36712001,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431875323,144,2150358535,34737021,17614,6921018,26972685,21811085,6803212,5350355,69007024,69006411,36712298,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431919955,144,2150424752,34737110,17614,6921018,26972761,21811230,6803349,5350355,69007275,69006662,36712530,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1431954001,144,2150451507,34737323,17621,6921018,26972961,21811278,6803397,5350355,69007531,69006918,36712783,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1432032843,144,2150555647,34737611,17633,6921018,26973223,21811410,6803536,5350355,69008058,69007445,36713297,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1433370287,144,2150635325,34737900,17633,6921018,26973499,21811807,6803718,5350355,69008641,69008028,36713657,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1433668813,144,2150762268,34738250,17636,6921018,26973824,21812246,6803931,5350355,69009544,69008931,36714312,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
