ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3127755714,2986050451,29,7752499,0,1500,18295683,0,107855506,317804191,209452928,8398028,368941,1722,26150,8430196,4721968,1256832,4960,78967336,579130594,579127556,274138680,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127780490,2986081399,29,7752577,0,1500,18295754,0,107855906,317806237,209454976,8398028,368941,1322,26550,8430196,4722092,1256944,4960,78967336,579132759,579129721,274140843,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127792213,2986097677,29,7752619,0,1500,18295788,0,107855906,317812696,209461435,8398428,368942,1722,26550,8430596,4722174,1257023,4960,78967336,579139299,579136261,274147380,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127805881,2986108097,29,7752679,0,1500,18295841,0,107856306,317814769,209463510,8398428,368942,1322,26950,8430597,4722251,1257100,4960,78967336,579141446,579138408,274149527,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127810644,2986112158,29,7752710,0,1500,18295859,0,107856306,317821226,209469966,8398828,368943,1722,26950,8430997,4722363,1257168,4960,78967336,579147975,579144937,274156051,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127812511,2986116849,29,7752731,0,1500,18295875,0,107856306,317821245,209469986,8398828,368944,1722,26950,8430997,4722457,1257240,4960,78967336,579150108,579147070,274158182,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,normal
3127858087,2986169398,29,7752807,0,1500,18295946,0,107856706,317823294,209472036,8398828,368944,1322,27350,8430997,4722575,1257357,4960,78967336,579154116,579151078,274162189,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127860461,2986173076,29,7752823,0,1500,18295962,0,107856706,317829749,209478491,8399228,368946,1722,27350,8431397,4722644,1257426,4960,78967336,579156762,579153724,274164835,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127873858,2986190127,29,7752886,0,1500,18296011,0,107857106,317831803,209480547,8399228,368946,1322,27750,8431397,4722766,1257524,4960,78967336,579158928,579155890,274166995,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127877807,2986194820,29,7752910,0,1500,18296034,0,107857106,317838265,209487007,8399628,368947,1722,27750,8431797,4722861,1257601,4960,78967336,579165458,579162420,274173523,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127880627,2986201537,29,7752930,0,1500,18296064,0,107857506,317840316,209489058,8399628,368947,1322,28150,8431797,4722941,1257683,4960,78967336,579167584,579164546,274175658,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127885896,2986206415,29,7752960,0,1500,18296088,0,107857506,317846786,209495528,8400028,368948,1722,28150,8432198,4723082,1257760,4960,78967336,579174140,579171102,274182206,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127901691,2986215551,29,7753026,0,1500,18296127,0,107858525,317849298,209498039,8400028,368948,84,29168,8432198,4723202,1257838,4960,78967336,579176727,579173689,274184795,3,0,0,0,0,267858486,58703708,277982854,124713683,124709961,89716331,slowloris
3127903586,2986222073,29,7753042,0,1500,18296153,0,107858525,317849309,209498050,8400028,368949,84,29168,8432198,4723285,1257919,4960,78967336,580650857,580647819,274921904,3,0,0,0,0,269598016,58703708,279722385,125583449,125579726,90586096,icmp-echo
3127906468,2986226923,29,7753064,0,1500,18296189,0,107858525,317849328,209498071,8400028,368949,84,29168,8432198,4723356,1258002,4960,78967336,581875048,581872010,275534059,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,icmp-echo
3127963747,2986309379,29,7753208,0,1500,18296361,0,107858525,317849374,209498120,8400028,368952,86,29168,8432200,4723598,1258252,4960,78967336,581875334,581872296,275534368,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3128022575,2986357112,29,7753364,0,1500,18296495,0,107858525,317849417,209498161,8400028,368954,87,29168,8432201,4723728,1258386,4960,78967336,581875501,581872463,275534533,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3128038877,2986368884,29,7753454,0,1500,18296564,0,107858525,317849453,209498208,8400028,368954,87,29168,8432201,4723829,1258475,4960,78967336,581875697,581872659,275534675,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3128165459,2986478517,29,7753731,0,1500,18296772,0,107858525,317849608,209498334,8400028,368956,88,29168,8432202,4723949,1258593,4960,78967336,581875902,581872864,275534865,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3128873765,2986527241,29,7754369,0,1500,18296966,0,107858525,317849669,209498405,8400028,368957,93,29168,8432208,4724658,1258834,4960,78967336,581876676,581873638,275535176,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3128944752,2986554025,29,7754479,0,1500,18297061,0,107858525,317849694,209498430,8400028,368958,92,29168,8432208,4724751,1258930,4960,78967336,581876803,581873765,275535306,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3128962520,2986574613,29,7754542,0,1500,18297120,0,107858525,317849719,209498458,8400028,368958,92,29168,8432208,4724910,1259042,4960,78967336,581876927,581873889,275535430,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3129110292,2986664850,29,7754805,0,1500,18297372,0,107858525,317849847,209498563,8400028,368959,93,29168,8432210,4725199,1259277,4960,78967336,581877386,581874348,275535773,3,0,0,0,0,270556632,58703708,280681000,126062756,126059034,91065404,normal
3205930456,3032635936,29,7828913,0,1500,18346957,0,110858050,343328041,231961028,10224406,390466,1683,31790,10258293,4730588,1264272,4960,81903225,598537946,598534908,283880549,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
3205937038,3032645650,29,7828961,0,1500,18347002,0,110858137,345291782,233924719,10408339,390517,1238,31790,10442212,4730670,1264357,4960,81903225,598538065,598535027,283880674,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
3205959109,3032688073,29,7829076,0,1500,18347123,0,110858217,347215821,235848735,10586001,390552,1099,31790,10619941,4730800,1264486,4960,81903225,598538256,598535218,283880866,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
3205984338,3032727251,29,7829165,0,1500,18347213,0,110858352,349204364,237836983,10771436,390856,1223,31790,10805593,4730956,1264614,4960,81903225,598538417,598535379,283881036,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
3205997289,3032757502,29,7829247,0,1500,18347289,0,110858444,351195437,239827786,10957146,391131,1091,31790,10991069,4731050,1264699,4960,81903225,598538535,598535497,283881153,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
3206001004,3032761918,29,7829292,0,1500,18347327,0,110858530,353223585,241855748,11146002,391316,1085,31790,11180074,4731164,1264802,4960,81903225,598538664,598535626,283881280,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
3206026721,3032795197,29,7829409,0,1500,18347447,0,110858609,355152971,243784947,11324862,391513,1258,31790,11358772,4731294,1264918,4960,81903225,598538823,598535785,283881453,3,0,0,0,0,278216823,61639597,288341191,128424907,128421185,93427555,httpFlood
