ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,target
681323458,29910588,497960,163137,3,4,0,0,0,0,0,48,83,3,270,116,198,10,64,61,3,3,normal
1135035241,62315330,841868,304113,4,10,3,1,0,0,0,100,135,2,287,166,261,11,62,57,5,5,normal
-3104366800,79388530,990974,331516,5,10,3,1,0,0,0,629,681,1,825,721,781,12,42,37,5,5,normal
686891053,38778410,439635,153925,0,0,0,0,0,0,0,268,286,0,380,283,327,11,38,34,5,5,normal
1172886647,80955533,877526,311607,3,3,0,0,0,0,0,108,151,2,349,204,214,10,43,39,4,4,normal
1232581966,78235530,923324,288116,5,5,0,0,0,0,0,76,102,4,378,197,186,13,37,31,5,6,normal
861766573,48791448,651518,207498,7,15,6,2,0,0,0,64,83,2,287,159,168,18,44,32,12,11,normal
-3314257537,64531512,758561,248372,3,4,0,0,0,0,0,90,128,2,300,127,240,17,85,74,11,11,normal
1115748979,75527954,835925,267367,4,5,0,0,0,0,0,71,95,6,320,158,245,14,109,101,7,7,normal
599167729,84673083,472339,186102,3,3,0,0,0,0,0,65,119,0,392,146,252,13,111,105,6,6,normal
1213881818,142446983,921566,339000,2,6,3,1,0,0,0,98,123,5,475,263,291,10,108,106,2,2,normal
-3613041015,204992384,805398,361504,4,8,3,1,0,0,0,296,327,1,531,330,472,9,103,100,3,3,normal
895943297,64583972,468571,167934,5,5,0,0,0,0,0,71,111,0,317,124,244,8,109,108,1,1,normal
1210185761,117245697,911361,348476,6,7,0,0,0,0,0,77,112,2,313,134,255,8,105,103,2,2,normal
630577808,62435426,473976,190532,3,3,0,0,0,0,0,60,86,4,329,140,223,7,99,98,1,1,normal
1158265841,113891418,901164,317242,3,7,3,1,0,0,0,73,98,1,317,152,223,9,97,95,3,3,normal
-3602719820,111916149,573285,256101,2,6,3,1,0,0,0,80,117,3,316,168,207,9,45,42,2,2,normal
711400174,59640416,526399,189068,7,9,0,0,0,0,0,53,77,6,284,147,161,11,35,31,5,5,normal
1254511125,153648392,973398,378151,3,3,0,0,0,0,0,78,107,0,253,142,175,11,36,31,4,4,normal
704680406,114068823,633348,284032,3,3,0,0,0,0,0,82,106,3,312,170,180,12,30,25,6,6,normal
996931979,108051411,683223,276919,6,15,6,2,0,0,0,300,330,3,436,342,397,13,33,26,6,6,normal
-3555363018,84557503,561301,498054,3,4,0,0,0,0,0,87,132,0,245,155,195,12,31,26,5,5,normal
1501785904,144656875,1125141,318741,7,8,0,0,0,0,0,85,134,1,336,198,212,10,41,37,4,4,normal
1178321134,99290593,861005,388698,3,3,0,0,0,0,0,49,100,5,237,84,170,10,28,25,3,3,normal
-2361229610,154821418,1398358,639532,8,13,3,1,0,0,0,80,129,1,284,121,207,8,39,37,5,5,normal
1385590066,155721967,1049635,464962,1,5,3,1,0,0,0,74,106,2,1049,211,211,14,50,44,3,4,normal
469293797,75940806,384600,169951,3,4,0,0,0,0,0,70,100,6,199,83,171,10,44,40,4,3,normal
1069820605,239577331,1045379,451040,4,4,0,0,0,0,0,2040,2162,1,2374,2289,2450,8,86,85,1,1,normal
-3286456303,119511287,569216,251142,4,5,0,0,0,0,0,2809,2782,3,3024,2852,2859,7,76,75,1,1,normal
797301738,107553219,631608,276342,5,14,6,2,0,0,0,609,606,3,716,543,535,8,25,24,1,1,normal
549470428,63931799,428630,169378,3,2,0,0,0,0,0,82,111,0,301,169,176,7,24,23,1,1,normal
972589174,-4155308753,767907,341993,2,2,0,0,0,0,0,68,106,1,247,155,170,8,29,28,1,1,normal
723536283,81858851,545145,212325,3,3,0,0,0,0,0,900,971,5,1273,1163,1216,7,35,34,1,1,normal
-3344265242,111663780,730161,295761,1,5,3,1,0,0,0,2894,2928,8,3105,2944,3047,9,32,30,2,2,normal
940856651,132792901,747478,331425,2,8,3,1,0,0,0,1419,1391,7,1458,1283,1242,9,32,28,3,3,normal
918422793,113903853,706740,282695,5,4,0,0,0,0,0,81,106,11,253,140,163,9,33,30,3,3,normal
704542673,90252720,550509,216462,3,5,0,0,0,0,0,95,109,7,265,171,179,9,30,28,2,2,normal
251671122,38683351,201286,88641,1,1,0,0,0,0,0,62,80,8,189,94,139,7,28,27,1,1,normal
-2791334408,170212462,1146127,497843,4,8,3,1,0,0,0,122,187,9,444,364,389,10,30,27,3,3,normal
1029215398,115724169,779845,326580,7,11,3,1,0,0,0,282,281,5,392,192,234,9,51,48,4,4,normal
427728234,78791870,356432,176071,5,5,0,0,0,0,0,51,71,6,183,96,157,16,48,39,8,8,normal
1119493733,132879629,868819,366808,0,0,0,0,0,0,0,83,111,10,225,109,195,9,43,40,3,3,normal
724983104,88587260,735204,332451,2,3,0,0,0,0,0,94,118,6,320,136,183,12,37,32,5,6,normal
562161861,92856107,269173,104496,3,11,6,2,0,0,0,56,84,3,249,98,166,10,35,31,4,3,normal
-3434733067,126161029,676880,474623,1,1,0,0,0,0,0,86,133,1,229,115,194,10,37,34,3,3,normal
1150212133,151050874,894261,199650,1,1,0,0,0,0,0,94,112,6,299,162,220,8,61,65,1,1,normal
823913139,101919009,629740,255557,4,5,0,0,0,0,0,63,98,2,284,97,198,11,87,78,4,4,normal
1283670973,116848942,947135,370843,2,6,3,1,0,0,0,98,127,2,267,139,210,13,42,35,7,8,normal
-3484719918,116826226,641443,302779,4,8,3,1,0,0,0,744,778,4,940,804,887,14,40,33,7,6,normal
945721021,101736706,721276,318057,0,0,0,0,0,0,0,178,224,0,405,242,266,12,30,24,6,6,normal
1026005091,163119189,807754,353593,4,5,0,0,0,0,0,87,108,2,285,156,178,11,36,36,4,5,normal
545230718,111162489,463892,230082,5,5,0,0,0,0,0,62,94,4,299,159,184,13,43,32,8,7,normal
569837150,98319470,462121,215673,3,11,6,2,0,0,0,72,108,1,320,157,213,20,73,59,14,14,normal
-3150822795,141034728,865057,372358,5,5,0,0,0,0,0,90,120,3,364,140,258,15,105,96,8,8,normal
824952076,121569265,652310,325679,1,1,0,0,0,0,0,63,80,6,335,190,227,15,105,98,7,7,normal
744931396,84212020,576083,216745,1,1,0,0,0,0,0,76,123,0,356,160,244,13,97,91,6,6,normal
1109724349,111558274,837030,366491,4,9,3,1,0,0,0,93,120,4,334,139,267,8,96,93,2,2,normal
804888741,100864348,617511,257385,2,7,3,1,0,0,0,293,336,2,519,328,485,6,123,123,0,0,normal
-3337917777,122875534,742270,313163,3,3,0,0,0,0,0,73,101,0,297,105,252,8,114,130,1,1,normal
844987683,115232601,663967,276886,5,5,0,0,0,0,0,77,108,2,308,110,265,8,119,111,2,2,normal
544135089,50739098,410971,151485,5,7,0,0,0,0,0,56,86,4,354,124,213,8,111,99,1,1,normal
945035658,174074005,773615,346131,4,9,3,1,0,0,0,72,97,1,295,147,191,7,49,47,2,2,normal
846140477,101923248,652442,265242,3,7,3,1,0,0,0,73,116,3,324,210,208,11,33,30,3,3,normal
-3516600734,69558701,590285,230432,4,5,0,0,0,0,0,55,77,6,258,134,143,15,41,31,9,9,normal
1003930528,129946954,777314,334982,3,3,0,0,0,0,0,80,121,1,242,137,188,17,37,26,11,11,normal
1113077885,121441076,852512,374787,6,6,0,0,0,0,0,72,92,3,264,183,167,12,34,29,5,5,normal
601112742,102775806,496428,232495,3,11,6,2,0,0,0,310,335,3,561,428,420,12,43,38,5,5,normal
769087849,88695003,581696,233902,4,6,0,0,0,0,0,87,115,1,255,124,186,10,32,28,5,5,normal
-3046965148,164293007,960206,445323,4,5,0,0,0,0,0,66,116,2,224,117,183,12,28,22,4,4,normal
652533768,-4205508565,504719,274582,3,3,0,0,0,0,0,68,89,5,205,86,146,9,30,32,3,3,normal
984382642,135646774,766627,316863,0,4,3,1,0,0,0,76,118,1,238,112,188,9,33,26,2,2,normal
1474619641,167162099,1110440,469886,4,8,3,1,0,0,0,63,99,2,250,139,172,9,30,27,3,3,normal
449860003,89961248,373587,181305,4,4,0,0,0,0,0,72,96,6,187,115,159,12,37,28,9,9,normal
-3326563856,128071361,783240,370636,3,4,0,0,0,0,0,1381,1485,2,1834,1757,1739,12,31,29,2,2,normal
483245562,37603648,354720,155435,3,3,0,0,0,0,0,2892,2948,2,3055,2989,3024,8,31,29,1,1,normal
1963695646,193998998,1526437,717328,1,5,3,1,0,0,0,1109,1090,4,1154,994,1004,7,28,27,1,1,normal
864578899,114448768,739614,265397,5,9,3,1,0,0,0,128,147,0,227,117,180,11,31,27,4,4,normal
-3757349312,35775110,420225,155677,4,5,0,0,0,0,0,49,96,1,185,126,161,7,21,20,1,1,normal
1725853697,185622129,1430420,598175,2,3,0,0,0,0,0,2536,2600,4,2833,2761,2857,8,20,19,1,1,httpFlood
1085233671,113694687,902937,400463,8,8,0,1,0,0,0,2597,2603,4,2679,2458,2467,10,32,28,4,4,normal
561732485,85199053,471155,216091,6,14,6,1,0,0,0,55,93,8,270,119,167,11,31,34,4,4,normal
-3154742123,163411156,1267383,544057,3,4,0,0,0,0,0,78,119,1,197,108,175,9,42,32,3,3,normal
1203326041,84319606,626688,262908,2,3,0,0,0,0,0,83,118,6,238,165,203,8,24,23,1,1,normal
897773523,122373041,741254,341893,0,0,0,0,0,0,0,59,91,2,275,195,145,7,26,25,1,1,normal
916687421,172575580,806012,402746,3,8,3,1,0,0,0,95,128,2,748,207,231,11,40,35,5,5,normal
-2987582726,161376410,1072872,499462,1,5,3,1,0,0,0,306,348,2,447,319,390,7,33,33,0,0,normal
729722762,85803662,595444,261943,3,4,0,0,0,0,0,55,99,0,223,87,160,7,26,25,1,1,normal
1336015090,139308811,1068650,492620,3,3,0,0,0,0,0,81,118,2,222,114,179,9,32,30,2,2,normal
1364391181,155393444,1092216,482979,1,1,0,0,0,0,0,67,107,4,207,99,189,8,41,40,1,1,normal
-3601852572,84761383,578110,251442,3,12,6,2,0,0,0,83,123,1,303,157,189,10,39,36,3,3,normal
1300411060,126332278,1036162,457263,2,2,0,0,0,0,0,80,122,3,284,112,236,11,73,68,5,5,normal
538791593,77151004,445045,226092,8,9,0,0,0,0,0,72,112,6,250,111,227,10,81,75,3,3,normal
1639109665,234765852,1341573,658384,5,5,0,0,0,0,0,81,111,4,274,136,211,8,60,58,2,2,normal
-3236117784,124958240,860977,380824,6,10,3,1,0,0,0,489,545,5,693,580,644,18,36,25,11,11,normal
1127340610,117502003,900034,388246,2,6,3,1,0,0,0,467,505,5,664,574,570,9,38,33,2,3,normal
864378468,101624962,691787,322554,5,5,0,0,0,0,0,71,110,2,335,216,176,10,24,20,4,3,normal
1128276535,134992000,918165,428121,0,0,0,0,0,0,0,78,126,4,266,183,195,11,36,32,5,5,normal
-3319570630,104041614,780666,335493,0,0,0,0,0,0,0,53,92,4,277,122,173,11,37,29,4,4,normal
1463747846,182436180,1222163,568512,2,6,3,1,0,0,0,79,112,5,378,126,224,16,73,86,10,10,normal
657172090,117365639,573335,313144,3,7,3,1,0,0,0,86,124,4,357,129,277,18,142,106,12,12,normal
687159029,80269436,538674,251248,1,1,0,0,0,0,0,51,84,9,285,123,247,17,118,109,9,9,normal
-2857452812,151308669,1137991,622641,2,3,0,0,0,0,0,87,125,2,301,120,270,11,101,96,5,5,normal
1054566323,138987081,868805,272037,4,4,0,0,0,0,0,81,117,4,348,166,273,10,105,102,3,3,normal
1141459658,-4164899780,908844,382528,3,11,6,2,0,0,0,306,341,4,508,339,500,7,125,124,1,1,normal
809456702,107618366,665200,301129,7,8,0,0,0,0,0,77,117,0,298,111,255,8,106,105,1,1,normal
-3187139829,121442498,877824,394177,2,3,0,0,0,0,0,72,126,1,318,108,260,7,98,109,1,1,normal
789159174,95178846,618612,270325,3,3,0,0,0,0,0,61,83,5,470,206,191,8,79,65,2,2,normal
1089502368,148468896,889592,385924,2,6,3,1,0,0,0,79,108,2,367,198,185,9,41,39,2,2,normal
988787387,142004252,817058,382377,3,9,3,1,0,0,0,64,104,2,316,175,196,10,28,25,3,3,normal
896243229,102830945,696049,314541,4,3,0,0,0,0,0,75,108,6,352,173,153,9,26,23,4,4,normal
-3490877590,161119278,946063,459745,0,0,0,0,0,0,0,78,108,1,233,116,176,12,34,28,5,5,normal
616221465,82586547,733267,323269,3,4,0,0,0,0,0,64,101,2,180,100,178,12,39,41,5,5,normal
1423331340,117707393,752517,371958,1,9,6,2,0,0,0,319,360,3,520,433,422,11,36,25,4,4,normal
954708075,82997894,494843,242547,5,5,0,0,0,0,0,86,108,1,300,162,188,11,33,28,5,5,normal
395496612,55213203,325243,155454,4,4,0,0,0,0,0,57,91,2,288,169,169,10,34,30,4,5,normal
-2746964675,170443149,1211429,463230,3,3,0,0,0,0,0,77,116,5,241,143,178,11,47,43,4,3,normal
843216015,84004846,668788,265822,5,10,3,1,0,0,0,77,112,1,327,116,195,8,34,31,2,2,normal
699941839,69587469,532351,213506,5,10,3,1,0,0,0,54,94,3,299,189,180,13,34,28,6,6,normal
-2428926753,206689174,1467834,661220,5,5,0,0,0,0,0,75,116,2,323,220,163,9,24,21,3,3,normal
696101207,107030556,693944,272957,4,4,0,0,0,0,0,914,1005,5,1177,1133,1284,8,43,42,2,2,normal
517593388,45591315,341350,126689,2,2,0,0,0,0,0,2902,2963,2,3059,2976,3027,7,28,24,1,1,normal
1031672216,173334092,875972,531280,3,7,3,1,0,0,0,1405,1359,2,1405,1212,1227,9,26,25,1,1,normal
1341407258,146622271,1087380,325507,3,7,3,1,0,0,0,280,322,2,441,352,390,6,25,25,0,0,normal
-3074928891,67872561,942776,394304,6,7,0,0,0,0,0,1352,1457,0,1630,1604,1705,8,25,24,2,2,normal
1488036930,85314846,1139489,485123,2,2,0,0,0,0,0,2935,2968,5,3086,2958,3041,9,29,27,1,1,normal
1335489608,78697132,1053910,443384,3,3,0,0,0,0,0,873,864,4,974,829,737,7,25,24,1,1,normal
582902847,39534697,471912,112646,8,19,6,2,0,0,0,66,99,2,213,106,156,10,27,23,4,4,normal
-3310669712,63950015,777184,281564,0,0,0,0,0,0,0,77,110,2,220,113,169,8,20,21,1,1,httpFlood
594669783,76190717,1021700,352565,1,1,0,0,0,0,0,64,87,6,358,250,151,9,40,35,3,3,normal
1216165205,38958258,399442,141711,1,1,0,0,0,0,0,73,104,0,316,163,158,8,21,20,1,1,normal
828552060,59883671,673229,224256,3,8,3,1,0,0,0,88,115,3,284,198,190,8,28,26,2,2,normal
-3429949093,65433158,675421,244429,2,6,3,1,0,0,0,303,343,3,487,377,410,8,30,30,0,0,normal
1030807650,62282308,808909,253916,1,1,0,0,0,0,0,77,121,0,241,111,179,7,26,25,1,1,normal
919855277,56185084,732513,254407,5,5,0,0,0,0,0,82,114,2,239,153,181,9,27,25,2,2,normal
585007326,31018082,451706,161090,2,2,0,0,0,0,0,63,108,4,187,89,166,8,26,34,1,1,normal
1578784686,106412053,1216004,460957,2,6,3,1,0,0,0,73,127,1,376,146,201,8,43,32,2,2,normal
-3304945075,67033867,955608,327969,6,12,3,1,0,0,0,79,113,2,314,124,232,9,72,69,3,3,normal
817546264,33201174,443043,171490,6,6,0,0,0,0,0,60,93,7,224,129,212,10,75,72,3,3,normal
1516018187,92827917,1156647,442355,3,4,0,0,0,0,0,87,128,0,250,149,190,9,38,36,2,3,normal
-2905419959,81608836,1044760,437744,5,5,0,0,0,0,0,72,124,2,250,128,203,13,35,28,7,6,normal
1395291111,76354332,1058308,407022,0,8,6,2,0,0,0,307,349,3,557,436,414,11,33,28,6,6,normal
1073845331,59760584,838717,265257,8,9,0,0,0,0,0,539,579,1,747,653,685,13,45,40,4,4,normal
665683968,42292568,548786,185326,3,3,0,0,0,0,0,176,211,1,391,270,263,10,34,30,4,4,normal
-3509343684,36497523,607496,176134,2,2,0,0,0,0,0,52,88,5,282,86,190,10,65,62,3,3,normal
1534133282,77816482,1192004,384492,2,6,3,1,0,0,0,78,110,1,379,194,253,16,103,93,10,10,normal
779096542,48874521,626817,228902,1,5,3,1,0,0,0,72,105,2,325,123,254,16,110,120,10,10,normal
594188553,38747995,468659,186021,5,5,0,0,0,0,0,65,95,6,238,93,246,15,137,109,8,8,normal
993121659,61414629,784325,282419,2,2,0,0,0,0,0,77,108,1,317,116,246,13,108,102,6,7,normal
363594340,27654462,894599,340440,1,2,0,0,0,0,0,72,110,2,339,107,284,10,114,110,4,3,normal
-2424823287,108473081,868742,323318,5,12,6,2,0,0,0,325,358,3,577,360,508,8,116,115,1,1,normal
661768479,40683906,528685,184885,6,6,0,0,0,0,0,78,115,2,387,163,261,11,110,105,4,4,normal
368714737,24610789,315759,103586,1,1,0,0,0,0,0,61,95,1,381,229,222,7,90,89,1,1,normal
-2701982501,101912959,1247033,481247,5,6,0,0,0,0,0,75,106,5,274,177,185,7,38,37,1,1,normal
955241749,50547610,738651,262376,2,6,3,1,0,0,0,82,125,1,320,210,176,9,23,21,2,2,normal
632366320,35723140,493734,198759,2,8,3,1,0,0,0,56,97,2,274,138,175,10,26,23,3,3,normal
